1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
39:47	وَلَوۡ أَنَّ لِلَّذِينَ ظَلَمُواۡ مَا فِى ٱلۡأَرۡضِ جَمِيعًا وَمِثۡلَهُۥ مَعَهُۥ لَٱفۡتَدَوۡاۡ بِهِۦ مِن سُوٓءِ ٱلۡعَذَابِ يَوۡمَ ٱلۡقِيَـٰمَةِ‌ۚ وَبَدَا لَهُم مِّنَ ٱللَّهِ مَا لَمۡ يَكُونُواۡ يَحۡتَسِبُونَ	walaw ʔanː̃a lilːaðiːna ðˤalamuː maː fiː lʔardˤi d͡ʒamiːʕa w̃ːamiθlahuː maʕahuː laftadaw bihiː miⁿ suːːʔi lʕaðaːbi jawma lqijaːmati wabadaː lahu mː̃ina lːaːhi maː lam jakuːnuː jaħtasibuːn
39:48	وَبَدَا لَهُمۡ سَيِّـَٔـاتُ مَا كَسَبُواۡ وَحَاقَ بِهِم مَّا كَانُواۡ بِهِۦ يَسۡتَهۡزِءُونَ	wabadaː lahum sajːiʔaːtu maː kasabuː waħaːqa bihi mː̃aː kaːnuː bihiː jastahziʔuːn
39:49	فَإِذَا مَسَّ ٱلۡإِنسَـٰنَ ضُرٌّ دَعَانَا ثُمَّ إِذَا خَوَّلۡنَـٰهُ نِعۡمَةً مِّنَّا قَالَ إِنَّمَآ أُوتِيتُهُۥ عَلَىٰ عِلۡمِۭ‌ۚ بَلۡ هِىَ فِتۡنَةٌ وَلَـٰكِنَّ أَكۡثَرَهُمۡ لَا يَعۡلَمُونَ	faʔiðaː masːa lʔiⁿsaːna dˤurːuⁿ daʕaːnaː θumː̃a ʔiðaː xawːalnaːhu niʕmata mː̃inː̃aː qaːla ʔinː̃amaːː ʔuːtiːtuhuː ʕalaː ʕilmiᵐ bal hija fitnatu w̃ːalaːkinː̃a ʔakθarahum laː jaʕlamuːn
39:50	قَدۡ قَالَهَا ٱلَّذِينَ مِن قَبۡلِهِمۡ فَمَآ أَغۡنَىٰ عَنۡهُم مَّا كَانُواۡ يَكۡسِبُونَ	qadᵊ qaːlahaː lːaðiːna miⁿ qabᵊlihim famaːː ʔaɣnaː ʕanhu mː̃aː kaːnuː jaksibuːn
39:51	فَأَصَابَهُمۡ سَيِّـَٔـاتُ مَا كَسَبُواۡ‌ۚ وَٱلَّذِينَ ظَلَمُواۡ مِنۡ هَـٰٓؤُلَآءِ سَيُصِيبُهُمۡ سَيِّـَٔـاتُ مَا كَسَبُواۡ وَمَا هُم بِمُعۡجِزِينَ	faʔasˤaːbahum sajːiʔaːtu maː kasabuː walːaðiːna ðˤalamuː min haːːʔulaːːʔi sajusˤiːbuhum sajːiʔaːtu maː kasabuː wamaː huᵐ bimuʕd͡ʒiziːn
39:52	أَوَلَمۡ يَعۡلَمُوٓاۡ أَنَّ ٱللَّهَ يَبۡسُطُ ٱلرِّزۡقَ لِمَن يَشَآءُ وَيَقۡدِرُ‌ۚ إِنَّ فِى ذٰلِكَ لَأَيَـٰتٍ لِّقَوۡمٍ يُؤۡمِنُونَ	ʔawalam jaʕlamuːː ʔanː̃a lːaːha jabᵊsutˤu rːizqa lima j̃ːaʃaːːʔu wajaqᵊdiru ʔinː̃a fiː ðaːlika laʔajaːti lːiqawmi j̃ːuʔminuːn
39:53	۞قُلۡ يَـٰعِبَادِىَ ٱلَّذِينَ أَسۡرَفُواۡ عَلَىٰٓ أَنفُسِهِمۡ لَا تَقۡنَطُواۡ مِن رَّحۡمَةِ ٱللَّهِ‌ۚ إِنَّ ٱللَّهَ يَغۡفِرُ ٱلذُّنُوبَ جَمِيعًا‌ۚ إِنَّهُۥ هُوَ ٱلۡغَفُورُ ٱلرَّحِيمُ	qul jaːʕibaːdija lːaðiːna ʔasrafuː ʕalaːː ʔaⁿfusihim laː taqᵊnatˤuː mi rːaħmati lːaːhi ʔinː̃a lːaːha jaɣfiru ðːunuːba d͡ʒamiːʕan ʔinː̃ahuː huwa lɣafuːru rːaħiːm
39:54	وَأَنِيبُوٓاۡ إِلَىٰ رَبِّكُمۡ وَأَسۡلِمُواۡ لَهُۥ مِن قَبۡلِ أَن يَأۡتِيَكُمُ ٱلۡعَذَابُ ثُمَّ لَا تُنصَرُونَ	waʔaniːbuːː ʔilaː rabːikum waʔaslimuː lahuː miⁿ qabᵊli ʔa j̃ːaʔtijakumu lʕaðaːbu θumː̃a laː tuⁿsˤaruːn
39:55	وَٱتَّبِعُوٓاۡ أَحۡسَنَ مَآ أُنزِلَ إِلَيۡكُم مِّن رَّبِّكُم مِّن قَبۡلِ أَن يَأۡتِيَكُمُ ٱلۡعَذَابُ بَغۡتَةً وَأَنتُمۡ لَا تَشۡعُرُونَ	watːabiʕuːː ʔaħsana maːː ʔuⁿzila ʔilajku mː̃i rːabːiku mː̃iⁿ qabᵊli ʔa j̃ːaʔtijakumu lʕaðaːbu baɣtata w̃ːaʔaⁿtum laː taʃʕuruːn
39:56	أَن تَقُولَ نَفۡسٌ يَـٰحَسۡرَتَىٰ عَلَىٰ مَا فَرَّطتُ فِى جَنۢبِ ٱللَّهِ وَإِن كُنتُ لَمِنَ ٱلسَّـٰخِرِينَ	ʔaⁿ taquːla nafsu j̃ːaːħasrataː ʕalaː maː farːatˤtu fiː d͡ʒaᵐbi lːaːhi waʔiⁿ kuⁿtu lamina sːaːxiriːn
39:57	أَوۡ تَقُولَ لَوۡ أَنَّ ٱللَّهَ هَدَٮٰنِى لَكُنتُ مِنَ ٱلۡمُتَّقِينَ	ʔaw taquːla law ʔanː̃a lːaːha hadaːniː lakuⁿtu mina lmutːaqiːn
39:58	أَوۡ تَقُولَ حِينَ تَرَى ٱلۡعَذَابَ لَوۡ أَنَّ لِى كَرَّةً فَأَكُونَ مِنَ ٱلۡمُحۡسِنِينَ	ʔaw taquːla ħiːna taraː lʕaðaːba law ʔanː̃a liː karːataⁿ faʔakuːna mina lmuħsiniːn
39:59	بَلَىٰ قَدۡ جَآءَتۡكَ ءَايَـٰتِى فَكَذَّبۡتَ بِهَا وَٱسۡتَكۡبَرۡتَ وَكُنتَ مِنَ ٱلۡكَـٰفِرِينَ	balaː qadᵊ d͡ʒaːːʔatka ʔaːjaːtiː fakaðːabᵊta bihaː wastakbarta wakuⁿta mina lkaːfiriːn
39:60	وَيَوۡمَ ٱلۡقِيَـٰمَةِ تَرَى ٱلَّذِينَ كَذَبُواۡ عَلَى ٱللَّهِ وُجُوهُهُم مُّسۡوَدَّةٌ‌ۚ أَلَيۡسَ فِى جَهَنَّمَ مَثۡوًى لِّلۡمُتَكَبِّرِينَ	wajawma lqijaːmati taraː lːaðiːna kaðabuː ʕalaː lːaːhi wud͡ʒuːhuhu mː̃uswadːatun ʔalajsa fiː d͡ʒahanː̃ama maθwa lːilmutakabːiriːn
39:61	وَيُنَجِّى ٱللَّهُ ٱلَّذِينَ ٱتَّقَوۡاۡ بِمَفَازَتِهِمۡ لَا يَمَسُّهُمُ ٱلسُّوٓءُ وَلَا هُمۡ يَحۡزَنُونَ	wajunad͡ʒːiː lːaːhu lːaðiːna tːaqaw bimafaːzatihim laː jamasːuhumu sːuːːʔu walaː hum jaħzanuːn
39:62	ٱللَّهُ خَـٰلِقُ كُلِّ شَىۡءٍ‌ۖ وَهُوَ عَلَىٰ كُلِّ شَىۡءٍ وَكِيلٌ	ʔalːaːhu xaːliqu kulːi ʃaːʔi w̃ːahuwa ʕalaː kulːi ʃaːʔi w̃ːakiːl
39:63	لَّهُۥ مَقَالِيدُ ٱلسَّمَـٰوٰتِ وَٱلۡأَرۡضِ‌ۗ وَٱلَّذِينَ كَفَرُواۡ بِـَٔـايَـٰتِ ٱللَّهِ أُوۡلَـٰٓئِكَ هُمُ ٱلۡخَـٰسِرُونَ	lːahuː maqaːliːdu sːamaːwaːti walʔardˤi walːaðiːna kafaruː biʔaːjaːti lːaːhi ʔulaːːʔika humu lxaːsiruːn
39:64	قُلۡ أَفَغَيۡرَ ٱللَّهِ تَأۡمُرُوٓنِّىٓ أَعۡبُدُ أَيُّهَا ٱلۡجَـٰهِلُونَ	qul ʔafaɣajra lːaːhi taʔmuruːːːnː̃iːː ʔaʕbudu ʔajːuhaː ld͡ʒaːhiluːn
39:65	وَلَقَدۡ أُوحِىَ إِلَيۡكَ وَإِلَى ٱلَّذِينَ مِن قَبۡلِكَ لَئِنۡ أَشۡرَكۡتَ لَيَحۡبَطَنَّ عَمَلُكَ وَلَتَكُونَنَّ مِنَ ٱلۡخَـٰسِرِينَ	walaqadᵊ ʔuːħija ʔilajka waʔilaː lːaðiːna miⁿ qabᵊlika laʔin ʔaʃrakta lajaħbatˤanː̃a ʕamaluka walatakuːnanː̃a mina lxaːsiriːn
39:66	بَلِ ٱللَّهَ فَٱعۡبُدۡ وَكُن مِّنَ ٱلشَّـٰكِرِينَ	bali lːaːha faʕbudᵊ waku mː̃ina ʃːaːkiriːn
39:67	وَمَا قَدَرُواۡ ٱللَّهَ حَقَّ قَدۡرِهِۦ وَٱلۡأَرۡضُ جَمِيعًا قَبۡضَتُهُۥ يَوۡمَ ٱلۡقِيَـٰمَةِ وَٱلسَّمَـٰوٰتُ مَطۡوِيَّـٰتُۢ بِيَمِينِهِۦ‌ۚ سُبۡحَـٰنَهُۥ وَتَعَـٰلَىٰ عَمَّا يُشۡرِكُونَ	wamaː qadaruː lːaːha ħaqːa qadᵊrihiː walʔardˤu d͡ʒamiːʕaⁿ qabᵊdˤatuhuː jawma lqijaːmati wasːamaːwaːtu matˤᵊwijːaːtuᵐ bijamiːnihiː subᵊħaːnahuː wataʕaːlaː ʕamː̃aː juʃrikuːn
39:68	وَنُفِخَ فِى ٱلصُّورِ فَصَعِقَ مَن فِى ٱلسَّمَـٰوٰتِ وَمَن فِى ٱلۡأَرۡضِ إِلَّا مَن شَآءَ ٱللَّهُ‌ۖ ثُمَّ نُفِخَ فِيهِ أُخۡرَىٰ فَإِذَا هُمۡ قِيَامٌ يَنظُرُونَ	wanufixa fiː sˤːuːri fasˤaʕiqa maⁿ fiː sːamaːwaːti wamaⁿ fiː lʔardˤi ʔilːaː maⁿ ʃaːːʔa lːaːhu θumː̃a nufixa fiːhi ʔuxraː faʔiðaː hum qijaːmu j̃ːaⁿðˤuruːn
39:69	وَأَشۡرَقَتِ ٱلۡأَرۡضُ بِنُورِ رَبِّهَا وَوُضِعَ ٱلۡكِتَـٰبُ وَجِاۡىٓءَ بِٱلنَّبِيِّــۧنَ وَٱلشُّهَدَآءِ وَقُضِىَ بَيۡنَهُم بِٱلۡحَقِّ وَهُمۡ لَا يُظۡلَمُونَ	waʔaʃraqati lʔardˤu binuːri rabːihaː wawudˤiʕa lkitaːbu wad͡ʒiːːʔa binː̃abijːiːna waʃːuhadaːːʔi waqudˤija bajnahuᵐ bilħaqːi wahum laː juðˤlamuːn
39:70	وَوُفِّيَتۡ كُلُّ نَفۡسٍ مَّا عَمِلَتۡ وَهُوَ أَعۡلَمُ بِمَا يَفۡعَلُونَ	wawufːijat kulːu nafsi mː̃aː ʕamilat wahuwa ʔaʕlamu bimaː jafʕaluːn
39:71	وَسِيقَ ٱلَّذِينَ كَفَرُوٓاۡ إِلَىٰ جَهَنَّمَ زُمَرًا‌ۖ حَتَّىٰٓ إِذَا جَآءُوهَا فُتِحَتۡ أَبۡوٰبُهَا وَقَالَ لَهُمۡ خَزَنَتُهَآ أَلَمۡ يَأۡتِكُمۡ رُسُلٌ مِّنكُمۡ يَتۡلُونَ عَلَيۡكُمۡ ءَايَـٰتِ رَبِّكُمۡ وَيُنذِرُونَكُمۡ لِقَآءَ يَوۡمِكُمۡ هَـٰذَا‌ۚ قَالُواۡ بَلَىٰ وَلَـٰكِنۡ حَقَّتۡ كَلِمَةُ ٱلۡعَذَابِ عَلَى ٱلۡكَـٰفِرِينَ	wasiːqa lːaðiːna kafaruːː ʔilaː d͡ʒahanː̃ama zumaran ħatːaːː ʔiðaː d͡ʒaːːʔuːhaː futiħat ʔabᵊwaːbuhaː waqaːla lahum xazanatuhaːː ʔalam jaʔtikum rusulu mː̃iⁿkum jatluːna ʕalajkum ʔaːjaːti rabːikum wajuⁿðiruːnakum liqaːːʔa jawmikum haːðaː qaːluː balaː walaːkin ħaqːat kalimatu lʕaðaːbi ʕalaː lkaːfiriːn
39:72	قِيلَ ٱدۡخُلُوٓاۡ أَبۡوٰبَ جَهَنَّمَ خَـٰلِدِينَ فِيهَا‌ۖ فَبِئۡسَ مَثۡوَى ٱلۡمُتَكَبِّرِينَ	qiːla dᵊxuluːː ʔabᵊwaːba d͡ʒahanː̃ama xaːlidiːna fiːhaː fabiʔsa maθwaː lmutakabːiriːn
39:73	وَسِيقَ ٱلَّذِينَ ٱتَّقَوۡاۡ رَبَّهُمۡ إِلَى ٱلۡجَنَّةِ زُمَرًا‌ۖ حَتَّىٰٓ إِذَا جَآءُوهَا وَفُتِحَتۡ أَبۡوٰبُهَا وَقَالَ لَهُمۡ خَزَنَتُهَا سَلَـٰمٌ عَلَيۡكُمۡ طِبۡتُمۡ فَٱدۡخُلُوهَا خَـٰلِدِينَ	wasiːqa lːaðiːna tːaqaw rabːahum ʔilaː ld͡ʒanː̃ati zumaran ħatːaːː ʔiðaː d͡ʒaːːʔuːhaː wafutiħat ʔabᵊwaːbuhaː waqaːla lahum xazanatuhaː salaːmun ʕalajkum tˤibᵊtum fadᵊxuluːhaː xaːlidiːn
39:74	وَقَالُواۡ ٱلۡحَمۡدُ لِلَّهِ ٱلَّذِى صَدَقَنَا وَعۡدَهُۥ وَأَوۡرَثَنَا ٱلۡأَرۡضَ نَتَبَوَّأُ مِنَ ٱلۡجَنَّةِ حَيۡثُ نَشَآءُ‌ۖ فَنِعۡمَ أَجۡرُ ٱلۡعَـٰمِلِينَ	waqaːluː lħamdu lilːaːhi lːaðiː sˤadaqanaː waʕdahuː waʔawraθanaː lʔardˤa natabawːaʔu mina ld͡ʒanː̃ati ħajθu naʃaːːʔu faniʕma ʔad͡ʒᵊru lʕaːmiliːn
39:75	وَتَرَى ٱلۡمَلَـٰٓئِكَةَ حَآفِّينَ مِنۡ حَوۡلِ ٱلۡعَرۡشِ يُسَبِّحُونَ بِحَمۡدِ رَبِّهِمۡ‌ۖ وَقُضِىَ بَيۡنَهُم بِٱلۡحَقِّ وَقِيلَ ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَـٰلَمِينَ	wataraː lmalaːːʔikata ħaːːːfːiːna min ħawli lʕarʃi jusabːiħuːna biħamdi rabːihim waqudˤija bajnahuᵐ bilħaqːi waqiːla lħamdu lilːaːhi rabːi lʕaːlamiːn
40:1	حمٓ	ħaː miːːːm
40:2	تَنزِيلُ ٱلۡكِتَـٰبِ مِنَ ٱللَّهِ ٱلۡعَزِيزِ ٱلۡعَلِيمِ	taⁿziːlu lkitaːbi mina lːaːhi lʕaziːzi lʕaliːm
40:3	غَافِرِ ٱلذَّنۢبِ وَقَابِلِ ٱلتَّوۡبِ شَدِيدِ ٱلۡعِقَابِ ذِى ٱلطَّوۡلِۖ لَآ إِلَـٰهَ إِلَّا هُوَۖ إِلَيۡهِ ٱلۡمَصِيرُ	ɣaːfiri ðːaᵐbi waqaːbili tːawbi ʃadiːdi lʕiqaːbi ðiː tˤːawli laːː ʔilaːha ʔilːaː huwa ʔilajhi lmasˤiːr
40:4	مَا يُجَـٰدِلُ فِىٓ ءَايَـٰتِ ٱللَّهِ إِلَّا ٱلَّذِينَ كَفَرُواۡ فَلَا يَغۡرُرۡكَ تَقَلُّبُهُمۡ فِى ٱلۡبِلَـٰدِ	maː jud͡ʒaːdilu fiːː ʔaːjaːti lːaːhi ʔilːaː lːaðiːna kafaruː falaː jaɣrurka taqalːubuhum fiː lbilaːdᵊ
40:5	كَذَّبَتۡ قَبۡلَهُمۡ قَوۡمُ نُوحٍ وَٱلۡأَحۡزَابُ مِنۢ بَعۡدِهِمۡۖ وَهَمَّتۡ كُلُّ أُمَّةِۭ بِرَسُولِهِمۡ لِيَأۡخُذُوهُۖ وَجَـٰدَلُواۡ بِٱلۡبَـٰطِلِ لِيُدۡحِضُواۡ بِهِ ٱلۡحَقَّ فَأَخَذۡتُهُمۡۖ فَكَيۡفَ كَانَ عِقَابِ	kaðːabat qabᵊlahum qawmu nuːħi w̃ːalʔaħzaːbu miᵐ baʕdihim wahamː̃at kulːu ʔumː̃atiᵐ birasuːlihim lijaʔxuðuːhu wad͡ʒaːdaluː bilbaːtˤili lijudᵊħidˤuː bihi lħaqːa faʔaxaðtuhum fakajfa kaːna ʕiqaːbᵊ
40:6	وَكَذٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى ٱلَّذِينَ كَفَرُوٓاۡ أَنَّهُمۡ أَصۡحَـٰبُ ٱلنَّارِ	wakaðaːlika ħaqːat kalimatu rabːika ʕalaː lːaðiːna kafaruːː ʔanː̃ahum ʔasˤħaːbu nː̃aːr
40:7	ٱلَّذِينَ يَحۡمِلُونَ ٱلۡعَرۡشَ وَمَنۡ حَوۡلَهُۥ يُسَبِّحُونَ بِحَمۡدِ رَبِّهِمۡ وَيُؤۡمِنُونَ بِهِۦ وَيَسۡتَغۡفِرُونَ لِلَّذِينَ ءَامَنُواۡ رَبَّنَا وَسِعۡتَ كُلَّ شَىۡءٍ رَّحۡمَةً وَعِلۡمًا فَٱغۡفِرۡ لِلَّذِينَ تَابُواۡ وَٱتَّبَعُواۡ سَبِيلَكَ وَقِهِمۡ عَذَابَ ٱلۡجَحِيمِ	ʔalːaðiːna jaħmiluːna lʕarʃa waman ħawlahuː jusabːiħuːna biħamdi rabːihim wajuʔminuːna bihiː wajastaɣfiruːna lilːaðiːna ʔaːmanuː rabːanaː wasiʕta kulːa ʃaːʔi rːaħmata w̃ːaʕilmaⁿ faɣfir lilːaðiːna taːbuː watːabaʕuː sabiːlaka waqihim ʕaðaːba ld͡ʒaħiːm
40:8	رَبَّنَا وَأَدۡخِلۡهُمۡ جَنَّـٰتِ عَدۡنٍ ٱلَّتِى وَعَدتَّهُمۡ وَمَن صَلَحَ مِنۡ ءَابَآئِهِمۡ وَأَزۡوٰجِهِمۡ وَذُرِّيَّـٰتِهِمۡۚ إِنَّكَ أَنتَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ	rabːanaː waʔadᵊxilhum d͡ʒanː̃aːti ʕadᵊnin lːatiː waʕatːahum wamaⁿ sˤalaħa min ʔaːbaːːʔihim waʔazwaːd͡ʒihim waðurːijːaːtihim ʔinː̃aka ʔaⁿta lʕaziːzu lħakiːm
40:9	وَقِهِمُ ٱلسَّيِّـَٔـاتِۚ وَمَن تَقِ ٱلسَّيِّـَٔـاتِ يَوۡمَئِذٍ فَقَدۡ رَحِمۡتَهُۥۚ وَذٰلِكَ هُوَ ٱلۡفَوۡزُ ٱلۡعَظِيمُ	waqihimu sːajːiʔaːti wamaⁿ taqi sːajːiʔaːti jawmaʔiðiⁿ faqadᵊ raħimtahuː waðaːlika huwa lfawzu lʕaðˤiːm
40:10	إِنَّ ٱلَّذِينَ كَفَرُواۡ يُنَادَوۡنَ لَمَقۡتُ ٱللَّهِ أَكۡبَرُ مِن مَّقۡتِكُمۡ أَنفُسَكُمۡ إِذۡ تُدۡعَوۡنَ إِلَى ٱلۡإِيمَـٰنِ فَتَكۡفُرُونَ	ʔinː̃a lːaðiːna kafaruː junaːdawna lamaqᵊtu lːaːhi ʔakbaru mi mː̃aqᵊtikum ʔaⁿfusakum ʔið tudᵊʕawna ʔilaː lʔiːmaːni fatakfuruːn
40:11	قَالُواۡ رَبَّنَآ أَمَتَّنَا ٱثۡنَتَيۡنِ وَأَحۡيَيۡتَنَا ٱثۡنَتَيۡنِ فَٱعۡتَرَفۡنَا بِذُنُوبِنَا فَهَلۡ إِلَىٰ خُرُوجٍ مِّن سَبِيلٍ	qaːluː rabːanaːː ʔamatːanaː θnatajni waʔaħjajtanaː θnatajni faʕtarafnaː biðunuːbinaː fahal ʔilaː xuruːd͡ʒi mː̃iⁿ sabiːl
40:12	ذٰلِكُم بِأَنَّهُۥٓ إِذَا دُعِىَ ٱللَّهُ وَحۡدَهُۥ كَفَرۡتُمۡۖ وَإِن يُشۡرَكۡ بِهِۦ تُؤۡمِنُواۡۚ فَٱلۡحُكۡمُ لِلَّهِ ٱلۡعَلِىِّ ٱلۡكَبِيرِ	ðaːlikuᵐ biʔanː̃ahuːː ʔiðaː duʕija lːaːhu waħdahuː kafartum waʔi j̃ːuʃrak bihiː tuʔminuː falħukmu lilːaːhi lʕalijːi lkabiːr
40:13	هُوَ ٱلَّذِى يُرِيكُمۡ ءَايَـٰتِهِۦ وَيُنَزِّلُ لَكُم مِّنَ ٱلسَّمَآءِ رِزۡقًاۚ وَمَا يَتَذَكَّرُ إِلَّا مَن يُنِيبُ	huwa lːaðiː juriːkum ʔaːjaːtihiː wajunazːilu laku mː̃ina sːamaːːʔi rizqa w̃ːamaː jataðakːaru ʔilːaː ma j̃ːuniːbᵊ
40:14	فَٱدۡعُواۡ ٱللَّهَ مُخۡلِصِينَ لَهُ ٱلدِّينَ وَلَوۡ كَرِهَ ٱلۡكَـٰفِرُونَ	fadᵊʕuː lːaːha muxlisˤiːna lahu dːiːna walaw kariha lkaːfiruːn
40:15	رَفِيعُ ٱلدَّرَجَـٰتِ ذُو ٱلۡعَرۡشِ يُلۡقِى ٱلرُّوحَ مِنۡ أَمۡرِهِۦ عَلَىٰ مَن يَشَآءُ مِنۡ عِبَادِهِۦ لِيُنذِرَ يَوۡمَ ٱلتَّلَاقِ	rafiːʕu dːarad͡ʒaːti ðuː lʕarʃi julqiː rːuːħa min ʔamrihiː ʕalaː ma j̃ːaʃaːːʔu min ʕibaːdihiː lijuⁿðira jawma tːalaːqᵊ
40:16	يَوۡمَ هُم بَـٰرِزُونَۖ لَا يَخۡفَىٰ عَلَى ٱللَّهِ مِنۡهُمۡ شَىۡءٌۚ لِّمَنِ ٱلۡمُلۡكُ ٱلۡيَوۡمَۖ لِلَّهِ ٱلۡوٰحِدِ ٱلۡقَهَّارِ	jawma huᵐ baːrizuːna laː jaxfaː ʕalaː lːaːhi minhum ʃaːʔu lːimani lmulku ljawma lilːaːhi lwaːħidi lqahːaːr
40:17	ٱلۡيَوۡمَ تُجۡزَىٰ كُلُّ نَفۡسِۭ بِمَا كَسَبَتۡۚ لَا ظُلۡمَ ٱلۡيَوۡمَۚ إِنَّ ٱللَّهَ سَرِيعُ ٱلۡحِسَابِ	ʔaljawma tud͡ʒᵊzaː kulːu nafsiᵐ bimaː kasabat laː ðˤulma ljawma ʔinː̃a lːaːha sariːʕu lħisaːbᵊ
40:18	وَأَنذِرۡهُمۡ يَوۡمَ ٱلۡأَزِفَةِ إِذِ ٱلۡقُلُوبُ لَدَى ٱلۡحَنَاجِرِ كَـٰظِمِينَۚ مَا لِلظَّـٰلِمِينَ مِنۡ حَمِيمٍ وَلَا شَفِيعٍ يُطَاعُ	waʔaⁿðirhum jawma lʔazifati ʔiði lquluːbu ladaː lħanaːd͡ʒiri kaːðˤimiːna maː lilðˤːaːlimiːna min ħamiːmi w̃ːalaː ʃafiːʕi j̃ːutˤaːʕ
40:19	يَعۡلَمُ خَآئِنَةَ ٱلۡأَعۡيُنِ وَمَا تُخۡفِى ٱلصُّدُورُ	jaʕlamu xaːːʔinata lʔaʕjuni wamaː tuxfiː sˤːuduːr
40:20	وَٱللَّهُ يَقۡضِى بِٱلۡحَقِّۖ وَٱلَّذِينَ يَدۡعُونَ مِن دُونِهِۦ لَا يَقۡضُونَ بِشَىۡءٍۗ إِنَّ ٱللَّهَ هُوَ ٱلسَّمِيعُ ٱلۡبَصِيرُ	walːaːhu jaqᵊdˤiː bilħaqːi walːaðiːna jadᵊʕuːna miⁿ duːnihiː laː jaqᵊdˤuːna biʃaːʔin ʔinː̃a lːaːha huwa sːamiːʕu lbasˤiːr
40:21	۞أَوَلَمۡ يَسِيرُواۡ فِى ٱلۡأَرۡضِ فَيَنظُرُواۡ كَيۡفَ كَانَ عَـٰقِبَةُ ٱلَّذِينَ كَانُواۡ مِن قَبۡلِهِمۡۚ كَانُواۡ هُمۡ أَشَدَّ مِنۡهُمۡ قُوَّةً وَءَاثَارًا فِى ٱلۡأَرۡضِ فَأَخَذَهُمُ ٱللَّهُ بِذُنُوبِهِمۡ وَمَا كَانَ لَهُم مِّنَ ٱللَّهِ مِن وَاقٍ	ʔawalam jasiːruː fiː lʔardˤi fajaⁿðˤuruː kajfa kaːna ʕaːqibatu lːaðiːna kaːnuː miⁿ qabᵊlihim kaːnuː hum ʔaʃadːa minhum quwːata w̃ːaʔaːθaːraⁿ fiː lʔardˤi faʔaxaðahumu lːaːhu biðunuːbihim wamaː kaːna lahu mː̃ina lːaːhi mi w̃ːaːqᵊ
40:22	ذٰلِكَ بِأَنَّهُمۡ كَانَت تَّأۡتِيهِمۡ رُسُلُهُم بِٱلۡبَيِّنَـٰتِ فَكَفَرُواۡ فَأَخَذَهُمُ ٱللَّهُۚ إِنَّهُۥ قَوِىٌّ شَدِيدُ ٱلۡعِقَابِ	ðaːlika biʔanː̃ahum kaːna tːaʔtiːhim rusuluhuᵐ bilbajːinaːti fakafaruː faʔaxaðahumu lːaːhu ʔinː̃ahuː qawijːuⁿ ʃadiːdu lʕiqaːbᵊ
40:23	وَلَقَدۡ أَرۡسَلۡنَا مُوسَىٰ بِـَٔـايَـٰتِنَا وَسُلۡطَـٰنٍ مُّبِينٍ	walaqadᵊ ʔarsalnaː muːsaː biʔaːjaːtinaː wasultˤaːni mː̃ubiːn
40:24	إِلَىٰ فِرۡعَوۡنَ وَهَـٰمَـٰنَ وَقَـٰرُونَ فَقَالُواۡ سَـٰحِرٌ كَذَّابٌ	ʔilaː firʕawna wahaːmaːna waqaːruːna faqaːluː saːħiruⁿ kaðːaːbᵊ
40:25	فَلَمَّا جَآءَهُم بِٱلۡحَقِّ مِنۡ عِندِنَا قَالُواۡ ٱقۡتُلُوٓاۡ أَبۡنَآءَ ٱلَّذِينَ ءَامَنُواۡ مَعَهُۥ وَٱسۡتَحۡيُواۡ نِسَآءَهُمۡۚ وَمَا كَيۡدُ ٱلۡكَـٰفِرِينَ إِلَّا فِى ضَلَـٰلٍ	falamː̃aː d͡ʒaːːʔahuᵐ bilħaqːi min ʕiⁿdinaː qaːluː qᵊtuluːː ʔabᵊnaːːʔa lːaðiːna ʔaːmanuː maʕahuː wastaħjuː nisaːːʔahum wamaː kajdu lkaːfiriːna ʔilːaː fiː dˤalaːl
40:26	وَقَالَ فِرۡعَوۡنُ ذَرُونِىٓ أَقۡتُلۡ مُوسَىٰ وَلۡيَدۡعُ رَبَّهُۥٓ‌ۖ إِنِّىٓ أَخَافُ أَن يُبَدِّلَ دِينَكُمۡ أَوۡ أَن يُظۡهِرَ فِى ٱلۡأَرۡضِ ٱلۡفَسَادَ	waqaːla firʕawnu ðaruːniːː ʔaqᵊtul muːsaː waljadᵊʕu rabːahuːː ʔinː̃iːː ʔaxaːfu ʔa j̃ːubadːila diːnakum ʔaw ʔa j̃ːuðˤhira fiː lʔardˤi lfasaːdᵊ
40:27	وَقَالَ مُوسَىٰٓ إِنِّى عُذۡتُ بِرَبِّى وَرَبِّكُم مِّن كُلِّ مُتَكَبِّرٍ لَّا يُؤۡمِنُ بِيَوۡمِ ٱلۡحِسَابِ	waqaːla muːsaːː ʔinː̃iː ʕuðtu birabːiː warabːiku mː̃iⁿ kulːi mutakabːiri lːaː juʔminu bijawmi lħisaːbᵊ
